City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1,Jalu,LY,79.14,broken clouds,29.0331,21.5482,صاحبة الفخامة
3,Hilo,US,77.79,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Kudahuvadhoo,MV,82.18,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
7,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,Hotel do Campo
9,Tumpat,MY,77.02,few clouds,6.1978,102.171,Baan Tanyong B&B
13,Faanui,PF,79.21,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
14,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
20,Puri,IN,81.12,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
29,Castro,BR,76.03,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
34,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
37,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
43,Pantai Remis,MY,79.16,overcast clouds,4.4557,100.6288,Leisure Homestay
44,Atuona,PF,78.13,clear sky,-9.8,-139.0333,Villa Enata
46,Glendive,US,72.79,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
47,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
48,Kapoeta,SS,81.68,broken clouds,4.7717,33.5903,Eastgate Hotel
50,Bengkulu,ID,74.8,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
51,Mumford,GH,77.85,overcast clouds,5.2618,-0.759,Spanish Villa
54,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
56,Abu Zabad,SD,82.44,clear sky,12.35,29.25,حامد محمد نور
57,Dhidhdhoo,MV,82.02,overcast clouds,6.8833,73.1,Dhidhoo beach
65,Fundao,BR,74.73,broken clouds,-19.9341,-40.4047,City Hotel
67,Hithadhoo,MV,81.57,broken clouds,-0.6,73.0833,Scoop Guest House
71,Ternate,ID,79.84,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
72,Hamilton,US,81.23,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
73,Rikitea,PF,72.77,clear sky,-23.1203,-134.9692,People ThankYou
74,Nouadhibou,MR,73.38,sand,20.931,-17.0347,El Medina
78,Russell,US,84.9,few clouds,32.3502,-85.1999,Macs
79,Hirara,JP,81.81,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
81,Kandi,BJ,76.15,light rain,11.1342,2.9386,Baric Motel De Kandi
83,Bartlesville,US,71.6,moderate rain,36.7473,-95.9808,Hilton Garden Inn Bartlesville
85,Mtwara,TZ,75.07,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
86,Saint George,US,77.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
88,Bubaque,GW,82.2,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
92,Porto Velho,BR,89.65,scattered clouds,-8.7619,-63.9039,Hotel Central
93,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
98,Fare,PF,78.96,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
100,Kavaratti,IN,81.82,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
102,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
103,Katsuura,JP,70.11,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
107,San Pedro,PH,79.83,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
108,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
