City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,80.56,84,59,9.19,broken clouds
1,Jalu,LY,29.0331,21.5482,79.14,49,54,14.99,broken clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,74,40,9.22,scattered clouds
3,Hilo,US,19.7297,-155.09,77.79,91,90,0.0,moderate rain
4,Ushuaia,AR,-54.8,-68.3,46.02,49,75,14.97,broken clouds
5,Bundaberg,AU,-24.85,152.35,64.22,93,100,4.0,overcast clouds
6,Kudahuvadhoo,MV,2.6708,72.8944,82.18,70,78,6.69,broken clouds
7,Ponta Do Sol,PT,32.6667,-17.1,73.71,74,5,9.13,clear sky
8,Mar Del Plata,AR,-38.0023,-57.5575,59.02,31,75,11.99,broken clouds
9,Tumpat,MY,6.1978,102.171,77.02,88,20,3.44,few clouds
10,Sisimiut,GL,66.9395,-53.6735,35.11,74,100,4.85,overcast clouds
11,Hervey Bay,AU,-25.2986,152.8535,64.04,79,100,4.81,moderate rain
12,Vostok,RU,46.4856,135.8833,42.58,84,87,1.72,overcast clouds
13,Faanui,PF,-16.4833,-151.75,79.21,72,1,17.74,clear sky
14,Georgetown,MY,5.4112,100.3354,82.33,91,40,5.99,scattered clouds
15,East London,ZA,-33.0153,27.9116,64.56,91,71,8.14,broken clouds
16,Torbay,CA,47.6666,-52.7314,63.75,99,90,4.61,fog
17,Port Elizabeth,ZA,-33.918,25.5701,63.1,100,90,12.66,light rain
18,Noo,EE,58.2756,26.5375,44.64,78,90,6.91,overcast clouds
19,Chokurdakh,RU,70.6333,147.9167,13.96,92,78,9.24,broken clouds
20,Puri,IN,19.8,85.85,81.12,80,73,8.48,broken clouds
21,Bluff,NZ,-46.6,168.3333,49.8,81,64,19.98,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,46.51,42,0,26.46,clear sky
23,Twistringen,DE,52.8,8.65,55.62,61,100,12.12,overcast clouds
24,Okhotsk,RU,59.3833,143.3,34.0,96,100,21.14,moderate rain
25,Alice Springs,AU,-23.7,133.8833,58.55,29,0,5.75,clear sky
26,Klaksvik,FO,62.2266,-6.589,52.72,96,100,26.96,overcast clouds
27,Vaini,TO,-21.2,-175.2,69.96,94,75,5.75,broken clouds
28,Kjopsvik,NO,68.097,16.3742,47.05,75,100,7.54,overcast clouds
29,Castro,BR,-24.7911,-50.0119,76.03,51,39,9.86,scattered clouds
30,Hermanus,ZA,-34.4187,19.2345,57.79,85,44,12.48,scattered clouds
31,Geraldton,AU,-28.7667,114.6,63.01,100,75,11.5,moderate rain
32,New Norfolk,AU,-42.7826,147.0587,54.75,74,100,3.22,overcast clouds
33,Norman Wells,CA,65.282,-126.8329,35.64,93,90,2.3,overcast clouds
34,Saint-Philippe,RE,-21.3585,55.7679,71.15,80,46,12.39,scattered clouds
35,Longyearbyen,SJ,78.2186,15.6401,33.64,93,40,2.3,scattered clouds
36,Nikolskoye,RU,59.7035,30.7861,44.49,91,8,4.65,clear sky
37,Grand Gaube,MU,-20.0064,57.6608,72.37,74,4,7.0,clear sky
38,Jamestown,US,42.097,-79.2353,62.02,65,90,3.0,overcast clouds
39,Khatanga,RU,71.9667,102.5,29.53,98,100,7.16,overcast clouds
40,Tiksi,RU,71.6872,128.8694,29.35,76,65,5.84,broken clouds
41,Albany,US,42.6001,-73.9662,59.34,73,97,7.83,overcast clouds
42,Whyalla,AU,-33.0333,137.5833,55.29,82,90,14.97,overcast clouds
43,Pantai Remis,MY,4.4557,100.6288,79.16,88,98,9.06,overcast clouds
44,Atuona,PF,-9.8,-139.0333,78.13,68,8,18.84,clear sky
45,Andenes,NO,69.3143,16.1194,45.46,81,0,6.91,clear sky
46,Glendive,US,47.1053,-104.7125,72.79,25,1,0.0,clear sky
47,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,40,12.66,scattered clouds
48,Kapoeta,SS,4.7717,33.5903,81.68,49,69,2.28,broken clouds
49,Iki-Burul,RU,45.8208,44.6472,39.54,48,0,10.56,clear sky
50,Bengkulu,ID,-3.8004,102.2655,74.8,89,100,3.94,moderate rain
51,Mumford,GH,5.2618,-0.759,77.85,90,94,10.56,overcast clouds
52,Busselton,AU,-33.65,115.3333,60.08,89,27,17.58,scattered clouds
53,Thompson,CA,55.7435,-97.8558,66.36,45,20,9.22,few clouds
54,Porto Novo,BJ,6.4965,2.6036,82.22,85,93,4.0,overcast clouds
55,Nome,US,64.5011,-165.4064,33.87,52,1,14.97,clear sky
56,Abu Zabad,SD,12.35,29.25,82.44,28,6,7.87,clear sky
57,Dhidhdhoo,MV,6.8833,73.1,82.02,77,100,13.33,overcast clouds
58,Waitati,NZ,-45.75,170.5667,46.8,74,6,3.78,clear sky
59,Chanika,TZ,-5.4167,38.0167,67.62,90,98,7.07,overcast clouds
60,Tasiilaq,GL,65.6145,-37.6368,37.56,78,1,8.03,clear sky
61,San Patricio,US,28.017,-97.5169,95.09,60,100,11.52,light rain
62,Cherskiy,RU,68.75,161.3,11.08,98,100,5.44,overcast clouds
63,Mataura,NZ,-46.1927,168.8643,49.48,82,100,3.6,overcast clouds
64,Torrington,US,41.8007,-73.1212,61.48,68,90,4.0,overcast clouds
65,Fundao,BR,-19.9341,-40.4047,74.73,84,75,4.85,broken clouds
66,Esmeraldas,BR,-19.7625,-44.3139,91.51,47,56,7.43,broken clouds
67,Hithadhoo,MV,-0.6,73.0833,81.57,73,79,2.91,broken clouds
68,Rio Gallegos,AR,-51.6226,-69.2181,53.65,15,40,27.63,scattered clouds
69,Elliot Lake,CA,46.3834,-82.6331,59.09,48,7,2.89,clear sky
70,Hobart,AU,-42.8794,147.3294,55.11,95,75,1.01,light intensity shower rain
71,Ternate,ID,0.8,127.4,79.84,83,25,3.31,scattered clouds
72,Hamilton,US,39.1834,-84.5333,81.23,49,1,0.0,clear sky
73,Rikitea,PF,-23.1203,-134.9692,72.77,70,0,19.24,clear sky
74,Nouadhibou,MR,20.931,-17.0347,73.38,78,0,12.66,sand
75,Dikson,RU,73.5069,80.5464,34.02,83,100,22.5,overcast clouds
76,Hochstadt,DE,49.2475,8.2089,55.47,72,99,2.39,overcast clouds
77,Yellowknife,CA,62.456,-114.3525,48.42,99,90,5.01,overcast clouds
78,Russell,US,32.3502,-85.1999,84.9,56,20,0.0,few clouds
79,Hirara,JP,24.8,125.2833,81.81,77,14,12.37,few clouds
80,Krasnokamensk,RU,50.0979,118.0369,30.67,72,12,5.19,few clouds
81,Kandi,BJ,11.1342,2.9386,76.15,82,22,2.93,light rain
82,Ola,RU,59.5833,151.2833,35.24,81,100,29.15,overcast clouds
83,Bartlesville,US,36.7473,-95.9808,71.6,95,90,4.61,moderate rain
84,Yizheng,CN,24.6706,103.4296,57.38,94,45,2.01,scattered clouds
