City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-09-29 16:44:09,42.6001,-73.9662,62.92,55,22,9.86
1,Arraial Do Cabo,BR,2021-09-29 16:48:03,-22.9661,-42.0278,80.46,65,40,13.8
2,Punta Arenas,CL,2021-09-29 16:43:41,-53.15,-70.9167,50.11,37,0,18.41
3,Hacari,CO,2021-09-29 16:48:04,8.3233,-73.1489,79.61,56,98,2.89
4,Kurumkan,RU,2021-09-29 16:48:04,54.3,110.3,31.37,81,16,2.51
5,Baykit,RU,2021-09-29 16:48:05,61.67,96.37,34.05,90,72,1.3
6,Mangai,CD,2021-09-29 16:48:05,-4.05,19.5333,73.44,90,98,0.94
7,Necochea,AR,2021-09-29 16:48:06,-38.5473,-58.7368,66.04,54,3,14.2
8,Margate,GB,2021-09-29 16:48:07,51.3813,1.3862,58.86,57,31,15.95
9,Nhulunbuy,AU,2021-09-29 16:48:07,-12.2333,136.7667,72.21,94,98,0.0
10,Tasiilaq,GL,2021-09-29 16:48:07,65.6145,-37.6368,44.76,64,42,4.32
11,Port Alfred,ZA,2021-09-29 16:48:08,-33.5906,26.891,60.12,77,100,21.18
12,Busselton,AU,2021-09-29 16:48:08,-33.65,115.3333,58.08,89,6,7.47
13,Dingle,PH,2021-09-29 16:48:09,10.9995,122.6711,76.68,92,82,3.33
14,Saint-Augustin,CA,2021-09-29 16:48:09,51.226,-58.6502,57.43,65,100,9.75
15,Bluff,NZ,2021-09-29 16:48:10,-46.6,168.3333,41.81,67,89,22.7
16,Los Llanos De Aridane,ES,2021-09-29 16:44:54,28.6585,-17.9182,75.13,65,75,20.71
17,Chuy,UY,2021-09-29 16:48:10,-33.6971,-53.4616,61.59,72,97,10.27
18,Cap Malheureux,MU,2021-09-29 16:48:10,-19.9842,57.6142,72.46,72,48,5.99
19,Cape Town,ZA,2021-09-29 16:47:10,-33.9258,18.4232,65.1,60,20,21.85
20,Ribeira Grande,PT,2021-09-29 16:48:11,38.5167,-28.7,75.6,88,40,8.05
21,Huarmey,PE,2021-09-29 16:48:12,-10.0681,-78.1522,67.78,75,71,9.28
22,Basco,PH,2021-09-29 16:48:12,20.4487,121.9702,82.81,79,68,10.54
23,Bismarck,US,2021-09-29 16:48:13,46.8083,-100.7837,69.87,41,20,14.97
24,Airai,TL,2021-09-29 16:48:13,-8.9266,125.4092,58.68,80,10,2.39
25,Sisimiut,GL,2021-09-29 16:48:14,66.9395,-53.6735,33.31,46,75,4.79
26,Dikson,RU,2021-09-29 16:48:14,73.5069,80.5464,34.0,96,100,14.34
27,Atuona,PF,2021-09-29 16:48:14,-9.8,-139.0333,77.68,75,63,21.23
28,Provideniya,RU,2021-09-29 16:48:15,64.3833,-173.3,29.68,88,100,10.51
29,Hobart,AU,2021-09-29 16:48:15,-42.8794,147.3294,49.05,83,90,1.14
30,Tuatapere,NZ,2021-09-29 16:48:16,-46.1333,167.6833,41.83,87,98,9.04
31,Mataura,NZ,2021-09-29 16:48:16,-46.1927,168.8643,41.49,97,97,6.96
